,sal,rooz,Month,shahar_Debi
0,1343,1,1,1.6
1,1343,2,1,1.6
2,1343,3,1,2.0
3,1343,4,1,2.0
4,1343,5,1,1.9
5,1343,6,1,1.8
6,1343,7,1,2.1
7,1343,8,1,2.0
8,1343,9,1,2.1
9,1343,10,1,2.4
10,1343,11,1,2.8
11,1343,12,1,2.8
12,1343,13,1,2.3
13,1343,14,1,1.9
14,1343,15,1,2.0
15,1343,16,1,1.7
16,1343,17,1,1.6
17,1343,18,1,1.5
18,1343,19,1,1.4
19,1343,20,1,1.4
20,1343,21,1,1.4
21,1343,22,1,1.2
22,1343,23,1,1.3
23,1343,24,1,1.4
24,1343,25,1,1.5
25,1343,26,1,1.5
26,1343,27,1,1.5
27,1343,28,1,1.6
28,1343,29,1,2.3
29,1343,30,1,5.1
30,1343,31,1,3.7
930,1343,1,2,2.9
931,1343,2,2,3.0
932,1343,3,2,3.2
933,1343,4,2,3.2
934,1343,5,2,4.3
935,1343,6,2,4.8
936,1343,7,2,5.4
937,1343,8,2,5.6
938,1343,9,2,14.0
939,1343,10,2,16.0
940,1343,11,2,10.0
941,1343,12,2,8.7
942,1343,13,2,6.6
943,1343,14,2,4.8
944,1343,15,2,4.1
945,1343,16,2,3.5
946,1343,17,2,3.0
947,1343,18,2,3.8
948,1343,19,2,4.3
949,1343,20,2,6.4
950,1343,21,2,6.0
951,1343,22,2,5.0
952,1343,23,2,3.9
953,1343,24,2,4.2
954,1343,25,2,4.2
955,1343,26,2,4.7
956,1343,27,2,5.1
957,1343,28,2,3.8
958,1343,29,2,3.7
959,1343,30,2,4.2
960,1343,31,2,4.3
1860,1343,1,3,4.4
1861,1343,2,3,5.3
1862,1343,3,3,6.1
1863,1343,4,3,7.4
1864,1343,5,3,8.6
1865,1343,6,3,8.7
1866,1343,7,3,8.4
1867,1343,8,3,8.5
1868,1343,9,3,8.1
1869,1343,10,3,7.5
1870,1343,11,3,8.0
1871,1343,12,3,8.2
1872,1343,13,3,8.5
1873,1343,14,3,8.9
1874,1343,15,3,9.5
1875,1343,16,3,9.0
1876,1343,17,3,9.3
1877,1343,18,3,9.6
1878,1343,19,3,9.4
1879,1343,20,3,8.9
1880,1343,21,3,7.8
1881,1343,22,3,6.3
1882,1343,23,3,5.0
1883,1343,24,3,4.9
1884,1343,25,3,4.5
1885,1343,26,3,4.7
1886,1343,27,3,3.8
1887,1343,28,3,3.1
1888,1343,29,3,2.9
1889,1343,30,3,1.9
1890,1343,31,3,1.6
2790,1343,1,4,1.4
2791,1343,2,4,1.1
2792,1343,3,4,1.1
2793,1343,4,4,0.81
2794,1343,5,4,0.84
2795,1343,6,4,0.75
2796,1343,7,4,0.68
2797,1343,8,4,0.59
2798,1343,9,4,0.53
2799,1343,10,4,0.47
2800,1343,11,4,0.24
2801,1343,12,4,0.21
2802,1343,13,4,0.19
2803,1343,14,4,0.13
2804,1343,15,4,0.12
2805,1343,16,4,0.13
2806,1343,17,4,0.13
2807,1343,18,4,0.15
2808,1343,19,4,0.08
2809,1343,20,4,0.35
2810,1343,21,4,0.13
2811,1343,22,4,0.08
2812,1343,23,4,0.07
2813,1343,24,4,0.06
2814,1343,25,4,0.06
2815,1343,26,4,0.05
2816,1343,27,4,0.06
2817,1343,28,4,0.05
2818,1343,29,4,0.02
2819,1343,30,4,
2820,1343,31,4,
3720,1343,1,5,
3721,1343,2,5,
3722,1343,3,5,
3723,1343,4,5,
3724,1343,5,5,
3725,1343,6,5,
3726,1343,7,5,
3727,1343,8,5,
3728,1343,9,5,
3729,1343,10,5,
3730,1343,11,5,
3731,1343,12,5,
3732,1343,13,5,
3733,1343,14,5,
3734,1343,15,5,
3735,1343,16,5,
3736,1343,17,5,
3737,1343,18,5,
3738,1343,19,5,
3739,1343,20,5,
3740,1343,21,5,
3741,1343,22,5,
3742,1343,23,5,
3743,1343,24,5,
3744,1343,25,5,
3745,1343,26,5,
3746,1343,27,5,
3747,1343,28,5,
3748,1343,29,5,
3749,1343,30,5,
3750,1343,31,5,
4650,1343,1,6,
4651,1343,2,6,
4652,1343,3,6,
4653,1343,4,6,
4654,1343,5,6,
4655,1343,6,6,
4656,1343,7,6,
4657,1343,8,6,
4658,1343,9,6,
4659,1343,10,6,
4660,1343,11,6,
4661,1343,12,6,
4662,1343,13,6,
4663,1343,14,6,
4664,1343,15,6,
4665,1343,16,6,
4666,1343,17,6,
4667,1343,18,6,
4668,1343,19,6,
4669,1343,20,6,
4670,1343,21,6,
4671,1343,22,6,
4672,1343,23,6,
4673,1343,24,6,
4674,1343,25,6,
4675,1343,26,6,
4676,1343,27,6,
4677,1343,28,6,
4678,1343,29,6,
4679,1343,30,6,
4680,1343,31,6,
5580,1343,1,7,
5581,1343,2,7,
5582,1343,3,7,
5583,1343,4,7,
5584,1343,5,7,
5585,1343,6,7,
5586,1343,7,7,
5587,1343,8,7,
5588,1343,9,7,
5589,1343,10,7,
5590,1343,11,7,
5591,1343,12,7,
5592,1343,13,7,
5593,1343,14,7,
5594,1343,15,7,
5595,1343,16,7,
5596,1343,17,7,
5597,1343,18,7,
5598,1343,19,7,
5599,1343,20,7,
5600,1343,21,7,
5601,1343,22,7,
5602,1343,23,7,
5603,1343,24,7,
5604,1343,25,7,
5605,1343,26,7,
5606,1343,27,7,
5607,1343,28,7,
5608,1343,29,7,
5609,1343,30,7,
5610,1343,31,7,
6510,1343,1,8,
6511,1343,2,8,
6512,1343,3,8,
6513,1343,4,8,
6514,1343,5,8,
6515,1343,6,8,
6516,1343,7,8,
6517,1343,8,8,
6518,1343,9,8,
6519,1343,10,8,
6520,1343,11,8,
6521,1343,12,8,
6522,1343,13,8,
6523,1343,14,8,
6524,1343,15,8,
6525,1343,16,8,
6526,1343,17,8,
6527,1343,18,8,
6528,1343,19,8,
6529,1343,20,8,
6530,1343,21,8,
6531,1343,22,8,
6532,1343,23,8,
6533,1343,24,8,
6534,1343,25,8,
6535,1343,26,8,
6536,1343,27,8,
6537,1343,28,8,
6538,1343,29,8,
6539,1343,30,8,
6540,1343,31,8,
7440,1343,1,9,
7441,1343,2,9,
7442,1343,3,9,
7443,1343,4,9,
7444,1343,5,9,
7445,1343,6,9,
7446,1343,7,9,
7447,1343,8,9,
7448,1343,9,9,
7449,1343,10,9,
7450,1343,11,9,
7451,1343,12,9,
7452,1343,13,9,
7453,1343,14,9,
7454,1343,15,9,
7455,1343,16,9,
7456,1343,17,9,
7457,1343,18,9,
7458,1343,19,9,
7459,1343,20,9,
7460,1343,21,9,
7461,1343,22,9,
7462,1343,23,9,
7463,1343,24,9,
7464,1343,25,9,
7465,1343,26,9,
7466,1343,27,9,
7467,1343,28,9,
7468,1343,29,9,
7469,1343,30,9,
7470,1343,31,9,
8370,1343,1,10,
8371,1343,2,10,
8372,1343,3,10,
8373,1343,4,10,
8374,1343,5,10,
8375,1343,6,10,
8376,1343,7,10,
8377,1343,8,10,
8378,1343,9,10,
8379,1343,10,10,
8380,1343,11,10,
8381,1343,12,10,
8382,1343,13,10,
8383,1343,14,10,
8384,1343,15,10,
8385,1343,16,10,
8386,1343,17,10,
8387,1343,18,10,
8388,1343,19,10,
8389,1343,20,10,
8390,1343,21,10,
8391,1343,22,10,
8392,1343,23,10,
8393,1343,24,10,
8394,1343,25,10,
8395,1343,26,10,
8396,1343,27,10,
8397,1343,28,10,
8398,1343,29,10,
8399,1343,30,10,
8400,1343,31,10,
9300,1343,1,11,
9301,1343,2,11,
9302,1343,3,11,
9303,1343,4,11,
9304,1343,5,11,
9305,1343,6,11,
9306,1343,7,11,
9307,1343,8,11,
9308,1343,9,11,
9309,1343,10,11,
9310,1343,11,11,
9311,1343,12,11,
9312,1343,13,11,
9313,1343,14,11,
9314,1343,15,11,
9315,1343,16,11,
9316,1343,17,11,
9317,1343,18,11,
9318,1343,19,11,
9319,1343,20,11,
9320,1343,21,11,
9321,1343,22,11,
9322,1343,23,11,
9323,1343,24,11,
9324,1343,25,11,
9325,1343,26,11,
9326,1343,27,11,
9327,1343,28,11,
9328,1343,29,11,
9329,1343,30,11,
9330,1343,31,11,
10230,1343,1,12,0.01
10231,1343,2,12,0.01
10232,1343,3,12,0.01
10233,1343,4,12,0.01
10234,1343,5,12,0.01
10235,1343,6,12,0.01
10236,1343,7,12,0.01
10237,1343,8,12,0.01
10238,1343,9,12,0.01
10239,1343,10,12,0.03
10240,1343,11,12,0.07
10241,1343,12,12,0.12
10242,1343,13,12,0.11
10243,1343,14,12,0.08
10244,1343,15,12,0.06
10245,1343,16,12,1.1
10246,1343,17,12,3.4
10247,1343,18,12,4.7
10248,1343,19,12,4.0
10249,1343,20,12,4.3
10250,1343,21,12,5.0
10251,1343,22,12,3.7
10252,1343,23,12,2.6
10253,1343,24,12,2.0
10254,1343,25,12,1.5
10255,1343,26,12,1.3
10256,1343,27,12,1.3
10257,1343,28,12,1.3
10258,1343,29,12,1.3
10259,1343,30,12,
10260,1343,31,12,
31,1344,1,1,2.6
32,1344,2,1,2.2
33,1344,3,1,2.0
34,1344,4,1,1.8
35,1344,5,1,1.7
36,1344,6,1,1.5
37,1344,7,1,1.3
38,1344,8,1,1.3
39,1344,9,1,1.3
40,1344,10,1,1.2
41,1344,11,1,1.1
42,1344,12,1,0.93
43,1344,13,1,0.84
44,1344,14,1,0.87
45,1344,15,1,0.93
46,1344,16,1,0.96
47,1344,17,1,0.96
48,1344,18,1,1.3
49,1344,19,1,1.7
50,1344,20,1,1.6
51,1344,21,1,3.6
52,1344,22,1,2.6
53,1344,23,1,2.6
54,1344,24,1,3.5
55,1344,25,1,4.2
56,1344,26,1,3.8
57,1344,27,1,4.1
58,1344,28,1,7.0
59,1344,29,1,7.3
60,1344,30,1,7.9
61,1344,31,1,8.9
961,1344,1,2,9.2
962,1344,2,2,8.2
963,1344,3,2,8.4
964,1344,4,2,6.8
965,1344,5,2,7.2
966,1344,6,2,7.4
967,1344,7,2,7.4
968,1344,8,2,8.5
969,1344,9,2,7.9
970,1344,10,2,9.0
971,1344,11,2,11.0
972,1344,12,2,10.0
973,1344,13,2,11.0
974,1344,14,2,17.0
975,1344,15,2,15.0
976,1344,16,2,11.0
977,1344,17,2,8.7
978,1344,18,2,8.1
979,1344,19,2,6.7
980,1344,20,2,5.8
981,1344,21,2,5.7
982,1344,22,2,6.4
983,1344,23,2,3.7
984,1344,24,2,4.1
985,1344,25,2,4.3
986,1344,26,2,4.4
987,1344,27,2,4.7
988,1344,28,2,4.7
989,1344,29,2,5.0
990,1344,30,2,5.0
991,1344,31,2,4.8
1891,1344,1,3,6.0
1892,1344,2,3,5.2
1893,1344,3,3,6.4
1894,1344,4,3,8.4
1895,1344,5,3,11.0
1896,1344,6,3,7.9
1897,1344,7,3,6.1
1898,1344,8,3,5.9
1899,1344,9,3,5.2
1900,1344,10,3,4.9
1901,1344,11,3,4.7
1902,1344,12,3,4.9
1903,1344,13,3,4.7
1904,1344,14,3,5.0
1905,1344,15,3,4.6
1906,1344,16,3,4.3
1907,1344,17,3,4.4
1908,1344,18,3,4.1
1909,1344,19,3,3.6
1910,1344,20,3,3.3
1911,1344,21,3,2.7
1912,1344,22,3,2.3
1913,1344,23,3,2.1
1914,1344,24,3,1.8
1915,1344,25,3,1.5
1916,1344,26,3,0.93
1917,1344,27,3,0.84
1918,1344,28,3,0.35
1919,1344,29,3,0.13
1920,1344,30,3,0.12
1921,1344,31,3,0.07
2821,1344,1,4,0.08
2822,1344,2,4,0.07
2823,1344,3,4,0.07
2824,1344,4,4,0.07
2825,1344,5,4,0.08
2826,1344,6,4,0.08
2827,1344,7,4,0.07
2828,1344,8,4,0.07
2829,1344,9,4,0.07
2830,1344,10,4,0.04
2831,1344,11,4,0.04
2832,1344,12,4,0.04
2833,1344,13,4,0.04
2834,1344,14,4,0.04
2835,1344,15,4,0.04
2836,1344,16,4,0.04
2837,1344,17,4,0.04
2838,1344,18,4,0.04
2839,1344,19,4,0.04
2840,1344,20,4,0.04
2841,1344,21,4,0.04
2842,1344,22,4,0.04
2843,1344,23,4,0.04
2844,1344,24,4,0.04
2845,1344,25,4,0.04
2846,1344,26,4,0.04
2847,1344,27,4,0.04
2848,1344,28,4,
2849,1344,29,4,
2850,1344,30,4,
2851,1344,31,4,
3751,1344,1,5,
3752,1344,2,5,
3753,1344,3,5,
3754,1344,4,5,
3755,1344,5,5,
3756,1344,6,5,
3757,1344,7,5,
3758,1344,8,5,
3759,1344,9,5,
3760,1344,10,5,
3761,1344,11,5,
3762,1344,12,5,
3763,1344,13,5,
3764,1344,14,5,
3765,1344,15,5,
3766,1344,16,5,
3767,1344,17,5,
3768,1344,18,5,
3769,1344,19,5,
3770,1344,20,5,
3771,1344,21,5,
3772,1344,22,5,
3773,1344,23,5,
3774,1344,24,5,
3775,1344,25,5,
3776,1344,26,5,
3777,1344,27,5,
3778,1344,28,5,
3779,1344,29,5,
3780,1344,30,5,
3781,1344,31,5,
4681,1344,1,6,
4682,1344,2,6,
4683,1344,3,6,
4684,1344,4,6,
4685,1344,5,6,
4686,1344,6,6,
4687,1344,7,6,
4688,1344,8,6,
4689,1344,9,6,
4690,1344,10,6,
4691,1344,11,6,
4692,1344,12,6,
4693,1344,13,6,
4694,1344,14,6,
4695,1344,15,6,
4696,1344,16,6,
4697,1344,17,6,
4698,1344,18,6,
4699,1344,19,6,
4700,1344,20,6,
4701,1344,21,6,
4702,1344,22,6,
4703,1344,23,6,
4704,1344,24,6,
4705,1344,25,6,
4706,1344,26,6,
4707,1344,27,6,
4708,1344,28,6,
4709,1344,29,6,
4710,1344,30,6,
4711,1344,31,6,
5611,1344,1,7,
5612,1344,2,7,
5613,1344,3,7,
5614,1344,4,7,
5615,1344,5,7,
5616,1344,6,7,
5617,1344,7,7,
5618,1344,8,7,
5619,1344,9,7,
5620,1344,10,7,
5621,1344,11,7,
5622,1344,12,7,
5623,1344,13,7,
5624,1344,14,7,
5625,1344,15,7,
5626,1344,16,7,
5627,1344,17,7,
5628,1344,18,7,
5629,1344,19,7,
5630,1344,20,7,
5631,1344,21,7,
5632,1344,22,7,
5633,1344,23,7,
5634,1344,24,7,0.38
5635,1344,25,7,
5636,1344,26,7,
5637,1344,27,7,1.0
5638,1344,28,7,0.25
5639,1344,29,7,0.02
5640,1344,30,7,4.2
5641,1344,31,7,
6541,1344,1,8,2.6
6542,1344,2,8,4.6
6543,1344,3,8,11.0
6544,1344,4,8,5.6
6545,1344,5,8,3.7
6546,1344,6,8,2.9
6547,1344,7,8,2.2
6548,1344,8,8,2.1
6549,1344,9,8,1.9
6550,1344,10,8,1.7
6551,1344,11,8,1.5
6552,1344,12,8,1.2
6553,1344,13,8,1.1
6554,1344,14,8,0.93
6555,1344,15,8,0.96
6556,1344,16,8,1.7
6557,1344,17,8,1.2
6558,1344,18,8,0.96
6559,1344,19,8,0.9
6560,1344,20,8,0.81
6561,1344,21,8,0.59
6562,1344,22,8,0.44
6563,1344,23,8,0.35
6564,1344,24,8,0.16
6565,1344,25,8,0.07
6566,1344,26,8,0.08
6567,1344,27,8,0.08
6568,1344,28,8,0.06
6569,1344,29,8,0.23
6570,1344,30,8,0.24
6571,1344,31,8,
7471,1344,1,9,0.12
7472,1344,2,9,0.07
7473,1344,3,9,0.06
7474,1344,4,9,0.05
7475,1344,5,9,0.05
7476,1344,6,9,0.05
7477,1344,7,9,0.06
7478,1344,8,9,0.04
7479,1344,9,9,0.05
7480,1344,10,9,0.06
7481,1344,11,9,0.06
7482,1344,12,9,0.07
7483,1344,13,9,0.07
7484,1344,14,9,0.06
7485,1344,15,9,0.06
7486,1344,16,9,0.06
7487,1344,17,9,0.06
7488,1344,18,9,0.06
7489,1344,19,9,0.06
7490,1344,20,9,0.06
7491,1344,21,9,0.06
7492,1344,22,9,0.06
7493,1344,23,9,0.06
7494,1344,24,9,0.06
7495,1344,25,9,0.06
7496,1344,26,9,0.06
7497,1344,27,9,0.06
7498,1344,28,9,0.08
7499,1344,29,9,0.17
7500,1344,30,9,0.32
7501,1344,31,9,
8401,1344,1,10,0.12
8402,1344,2,10,0.11
8403,1344,3,10,0.11
8404,1344,4,10,0.19
8405,1344,5,10,0.2
8406,1344,6,10,0.21
8407,1344,7,10,0.21
8408,1344,8,10,0.22
8409,1344,9,10,0.24
8410,1344,10,10,0.23
8411,1344,11,10,0.23
8412,1344,12,10,0.21
8413,1344,13,10,0.19
8414,1344,14,10,0.17
8415,1344,15,10,0.19
8416,1344,16,10,0.15
8417,1344,17,10,0.11
8418,1344,18,10,0.11
8419,1344,19,10,0.16
8420,1344,20,10,0.17
8421,1344,21,10,0.21
8422,1344,22,10,0.19
8423,1344,23,10,0.21
8424,1344,24,10,0.19
8425,1344,25,10,0.11
8426,1344,26,10,0.11
8427,1344,27,10,0.11
8428,1344,28,10,0.08
8429,1344,29,10,0.24
8430,1344,30,10,0.13
8431,1344,31,10,
9331,1344,1,11,0.08
9332,1344,2,11,0.07
9333,1344,3,11,0.16
9334,1344,4,11,0.11
9335,1344,5,11,0.07
9336,1344,6,11,0.19
9337,1344,7,11,0.21
9338,1344,8,11,0.3
9339,1344,9,11,0.24
9340,1344,10,11,0.31
9341,1344,11,11,0.9
9342,1344,12,11,0.35
9343,1344,13,11,0.5
9344,1344,14,11,0.43
9345,1344,15,11,0.41
9346,1344,16,11,0.38
9347,1344,17,11,0.35
9348,1344,18,11,0.35
9349,1344,19,11,0.35
9350,1344,20,11,0.35
9351,1344,21,11,0.38
9352,1344,22,11,0.34
9353,1344,23,11,0.38
9354,1344,24,11,0.35
9355,1344,25,11,0.41
9356,1344,26,11,0.72
9357,1344,27,11,0.72
9358,1344,28,11,0.65
9359,1344,29,11,1.1
9360,1344,30,11,0.96
9361,1344,31,11,
10261,1344,1,12,0.96
10262,1344,2,12,0.93
10263,1344,3,12,0.87
10264,1344,4,12,0.84
10265,1344,5,12,0.81
10266,1344,6,12,0.84
10267,1344,7,12,0.84
10268,1344,8,12,0.9
10269,1344,9,12,0.93
10270,1344,10,12,1.2
10271,1344,11,12,1.5
10272,1344,12,12,1.3
10273,1344,13,12,1.1
10274,1344,14,12,1.2
10275,1344,15,12,1.3
10276,1344,16,12,1.3
10277,1344,17,12,1.4
10278,1344,18,12,1.5
10279,1344,19,12,1.6
10280,1344,20,12,1.7
10281,1344,21,12,4.1
10282,1344,22,12,5.7
10283,1344,23,12,3.8
10284,1344,24,12,3.0
10285,1344,25,12,2.8
10286,1344,26,12,1.5
10287,1344,27,12,2.7
10288,1344,28,12,2.8
10289,1344,29,12,2.7
10290,1344,30,12,
10291,1344,31,12,
62,1345,1,1,
63,1345,2,1,
64,1345,3,1,
65,1345,4,1,
66,1345,5,1,0.02
67,1345,6,1,0.02
68,1345,7,1,0.13
69,1345,8,1,0.25
70,1345,9,1,0.31
71,1345,10,1,0.28
72,1345,11,1,0.25
73,1345,12,1,0.33
74,1345,13,1,0.33
75,1345,14,1,0.31
76,1345,15,1,0.5
77,1345,16,1,1.7
78,1345,17,1,1.9
79,1345,18,1,1.0
80,1345,19,1,1.3
81,1345,20,1,1.6
82,1345,21,1,1.8
83,1345,22,1,1.7
84,1345,23,1,1.8
85,1345,24,1,2.6
86,1345,25,1,2.3
87,1345,26,1,2.6
88,1345,27,1,3.5
89,1345,28,1,3.9
90,1345,29,1,7.0
91,1345,30,1,6.5
92,1345,31,1,5.6
992,1345,1,2,7.0
993,1345,2,2,9.4
994,1345,3,2,8.9
995,1345,4,2,8.5
996,1345,5,2,9.0
997,1345,6,2,8.1
998,1345,7,2,7.6
999,1345,8,2,9.2
1000,1345,9,2,9.7
1001,1345,10,2,9.0
1002,1345,11,2,10.0
1003,1345,12,2,12.0
1004,1345,13,2,15.0
1005,1345,14,2,18.0
1006,1345,15,2,21.0
1007,1345,16,2,26.0
1008,1345,17,2,22.0
1009,1345,18,2,26.0
1010,1345,19,2,25.0
1011,1345,20,2,25.0
1012,1345,21,2,23.0
1013,1345,22,2,26.0
1014,1345,23,2,26.0
1015,1345,24,2,35.0
1016,1345,25,2,35.0
1017,1345,26,2,37.0
1018,1345,27,2,30.0
1019,1345,28,2,26.0
1020,1345,29,2,25.0
1021,1345,30,2,26.0
1022,1345,31,2,26.0
1922,1345,1,3,25.0
1923,1345,2,3,24.0
1924,1345,3,3,26.0
1925,1345,4,3,28.0
1926,1345,5,3,28.0
1927,1345,6,3,27.0
1928,1345,7,3,24.0
1929,1345,8,3,23.0
1930,1345,9,3,22.0
1931,1345,10,3,19.0
1932,1345,11,3,16.0
1933,1345,12,3,16.0
1934,1345,13,3,16.0
1935,1345,14,3,15.0
1936,1345,15,3,13.0
1937,1345,16,3,11.0
1938,1345,17,3,9.4
1939,1345,18,3,9.7
1940,1345,19,3,8.2
1941,1345,20,3,8.8
1942,1345,21,3,8.0
1943,1345,22,3,9.4
1944,1345,23,3,9.4
1945,1345,24,3,9.9
1946,1345,25,3,11.0
1947,1345,26,3,9.1
1948,1345,27,3,9.1
1949,1345,28,3,8.1
1950,1345,29,3,12.0
1951,1345,30,3,10.0
1952,1345,31,3,7.0
2852,1345,1,4,5.5
2853,1345,2,4,4.8
2854,1345,3,4,3.9
2855,1345,4,4,2.9
2856,1345,5,4,2.6
2857,1345,6,4,2.0
2858,1345,7,4,1.4
2859,1345,8,4,1.3
2860,1345,9,4,1.1
2861,1345,10,4,1.1
2862,1345,11,4,1.1
2863,1345,12,4,0.88
2864,1345,13,4,0.27
2865,1345,14,4,0.31
2866,1345,15,4,0.16
2867,1345,16,4,0.1
2868,1345,17,4,0.06
2869,1345,18,4,0.04
2870,1345,19,4,0.02
2871,1345,20,4,0.01
2872,1345,21,4,0.01
2873,1345,22,4,0.01
2874,1345,23,4,
2875,1345,24,4,
2876,1345,25,4,
2877,1345,26,4,
2878,1345,27,4,
2879,1345,28,4,
2880,1345,29,4,
2881,1345,30,4,
2882,1345,31,4,
3782,1345,1,5,
3783,1345,2,5,
3784,1345,3,5,
3785,1345,4,5,
3786,1345,5,5,
3787,1345,6,5,
3788,1345,7,5,
3789,1345,8,5,
3790,1345,9,5,
3791,1345,10,5,
3792,1345,11,5,
3793,1345,12,5,
3794,1345,13,5,
3795,1345,14,5,
3796,1345,15,5,
3797,1345,16,5,
3798,1345,17,5,
3799,1345,18,5,
3800,1345,19,5,
3801,1345,20,5,
3802,1345,21,5,
3803,1345,22,5,
3804,1345,23,5,
3805,1345,24,5,
3806,1345,25,5,
3807,1345,26,5,
3808,1345,27,5,
3809,1345,28,5,
3810,1345,29,5,
3811,1345,30,5,
3812,1345,31,5,
4712,1345,1,6,
4713,1345,2,6,
4714,1345,3,6,
4715,1345,4,6,
4716,1345,5,6,
4717,1345,6,6,
4718,1345,7,6,
4719,1345,8,6,
4720,1345,9,6,
4721,1345,10,6,
4722,1345,11,6,
4723,1345,12,6,
4724,1345,13,6,
4725,1345,14,6,
4726,1345,15,6,
4727,1345,16,6,
4728,1345,17,6,
4729,1345,18,6,
4730,1345,19,6,
4731,1345,20,6,
4732,1345,21,6,
4733,1345,22,6,
4734,1345,23,6,
4735,1345,24,6,
4736,1345,25,6,
4737,1345,26,6,
4738,1345,27,6,
4739,1345,28,6,
4740,1345,29,6,
4741,1345,30,6,
4742,1345,31,6,
5642,1345,1,7,
5643,1345,2,7,
5644,1345,3,7,
5645,1345,4,7,
5646,1345,5,7,
5647,1345,6,7,
5648,1345,7,7,
5649,1345,8,7,
5650,1345,9,7,
5651,1345,10,7,
5652,1345,11,7,
5653,1345,12,7,
5654,1345,13,7,
5655,1345,14,7,
5656,1345,15,7,
5657,1345,16,7,
5658,1345,17,7,
5659,1345,18,7,
5660,1345,19,7,
5661,1345,20,7,
5662,1345,21,7,
5663,1345,22,7,
5664,1345,23,7,
5665,1345,24,7,
5666,1345,25,7,
5667,1345,26,7,
5668,1345,27,7,
5669,1345,28,7,
5670,1345,29,7,
5671,1345,30,7,
5672,1345,31,7,
6572,1345,1,8,
6573,1345,2,8,
6574,1345,3,8,
6575,1345,4,8,
6576,1345,5,8,
6577,1345,6,8,
6578,1345,7,8,
6579,1345,8,8,
6580,1345,9,8,
6581,1345,10,8,
6582,1345,11,8,
6583,1345,12,8,
6584,1345,13,8,
6585,1345,14,8,
6586,1345,15,8,
6587,1345,16,8,
6588,1345,17,8,
6589,1345,18,8,
6590,1345,19,8,
6591,1345,20,8,
6592,1345,21,8,
6593,1345,22,8,
6594,1345,23,8,
6595,1345,24,8,
6596,1345,25,8,
6597,1345,26,8,
6598,1345,27,8,
6599,1345,28,8,
6600,1345,29,8,
6601,1345,30,8,
6602,1345,31,8,
7502,1345,1,9,
7503,1345,2,9,
7504,1345,3,9,
7505,1345,4,9,
7506,1345,5,9,
7507,1345,6,9,
7508,1345,7,9,
7509,1345,8,9,
7510,1345,9,9,
7511,1345,10,9,
7512,1345,11,9,
7513,1345,12,9,
7514,1345,13,9,
7515,1345,14,9,
7516,1345,15,9,
7517,1345,16,9,
7518,1345,17,9,
7519,1345,18,9,
7520,1345,19,9,
7521,1345,20,9,
7522,1345,21,9,
7523,1345,22,9,
7524,1345,23,9,
7525,1345,24,9,
7526,1345,25,9,
7527,1345,26,9,
7528,1345,27,9,
7529,1345,28,9,
7530,1345,29,9,
7531,1345,30,9,
7532,1345,31,9,
8432,1345,1,10,
8433,1345,2,10,
8434,1345,3,10,
8435,1345,4,10,
8436,1345,5,10,
8437,1345,6,10,
8438,1345,7,10,
8439,1345,8,10,
8440,1345,9,10,
8441,1345,10,10,
8442,1345,11,10,
8443,1345,12,10,
8444,1345,13,10,
8445,1345,14,10,
8446,1345,15,10,
8447,1345,16,10,
8448,1345,17,10,
8449,1345,18,10,
8450,1345,19,10,
8451,1345,20,10,
8452,1345,21,10,
8453,1345,22,10,
8454,1345,23,10,
8455,1345,24,10,
8456,1345,25,10,
8457,1345,26,10,
8458,1345,27,10,
8459,1345,28,10,
8460,1345,29,10,
8461,1345,30,10,
8462,1345,31,10,
9362,1345,1,11,
9363,1345,2,11,
9364,1345,3,11,
9365,1345,4,11,
9366,1345,5,11,
9367,1345,6,11,
9368,1345,7,11,
9369,1345,8,11,
9370,1345,9,11,
9371,1345,10,11,
9372,1345,11,11,
9373,1345,12,11,
9374,1345,13,11,
9375,1345,14,11,
9376,1345,15,11,
9377,1345,16,11,
9378,1345,17,11,
9379,1345,18,11,
9380,1345,19,11,
9381,1345,20,11,
9382,1345,21,11,
9383,1345,22,11,
9384,1345,23,11,
9385,1345,24,11,
9386,1345,25,11,
9387,1345,26,11,
9388,1345,27,11,
9389,1345,28,11,
9390,1345,29,11,
9391,1345,30,11,
9392,1345,31,11,
10292,1345,1,12,
10293,1345,2,12,
10294,1345,3,12,
10295,1345,4,12,
10296,1345,5,12,
10297,1345,6,12,
10298,1345,7,12,
10299,1345,8,12,
10300,1345,9,12,
10301,1345,10,12,
10302,1345,11,12,
10303,1345,12,12,
10304,1345,13,12,
10305,1345,14,12,
10306,1345,15,12,
10307,1345,16,12,
10308,1345,17,12,
10309,1345,18,12,
10310,1345,19,12,
10311,1345,20,12,
10312,1345,21,12,
10313,1345,22,12,
10314,1345,23,12,
10315,1345,24,12,
10316,1345,25,12,
10317,1345,26,12,
10318,1345,27,12,
10319,1345,28,12,
10320,1345,29,12,
10321,1345,30,12,
10322,1345,31,12,
93,1346,1,1,1.8
94,1346,2,1,1.9
95,1346,3,1,1.9
96,1346,4,1,1.7
97,1346,5,1,1.5
98,1346,6,1,1.5
99,1346,7,1,1.4
100,1346,8,1,1.3
101,1346,9,1,1.6
102,1346,10,1,1.6
103,1346,11,1,1.6
104,1346,12,1,1.9
105,1346,13,1,2.0
106,1346,14,1,4.0
107,1346,15,1,4.4
108,1346,16,1,3.9
109,1346,17,1,4.1
110,1346,18,1,4.6
111,1346,19,1,4.7
112,1346,20,1,5.4
